        cell	          Cl	         Sua	         Hfo	         Sub	   Sorbedhfo	
  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  4.9952e-01	  4.9987e-01	  9.9950e-01	  9.9950e-01	  0.0000e+00	
  5.0000e+00	  5.0033e-01	  4.9983e-01	  4.9998e-04	  4.9998e-04	  0.0000e+00	
  2.0000e+00	  1.5016e-04	  1.5001e-04	  2.9985e-07	  2.9985e-07	  0.0000e+00	
  6.0000e+00	  1.5014e-04	  1.4999e-04	  1.5000e-10	  1.4999e-10	  0.0000e+00	
  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  7.4966e-01	  4.9995e-01	  9.9943e-01	  1.0000e+00	  4.9975e-01	
  5.0000e+00	  7.5057e-01	  4.9990e-01	  7.4980e-04	  5.0033e-01	  2.4999e-04	
  2.0000e+00	  2.4952e-01	  7.5081e-05	  4.9957e-01	  1.4994e+00	  1.4993e-07	
  6.0000e+00	  2.5032e-01	  7.5074e-05	  2.4990e-04	  1.4999e-04	  7.5000e-11	
  3.0000e+00	  1.5014e-04	  1.4997e-12	  2.9970e-07	  1.5031e-04	  0.0000e+00	
  7.0000e+00	  1.5013e-04	  1.4996e-12	  1.4993e-10	  1.0000e-22	  0.0000e+00	
  1.0000e+00	  8.7478e-01	  4.9987e-01	  9.9950e-01	  1.0000e+00	  9.9946e-01	
  5.0000e+00	  8.7573e-01	  4.9983e-01	  8.7469e-04	  1.0002e+00	  6.2489e-04	
  2.0000e+00	  4.9952e-01	  1.5001e-04	  4.9943e-01	  1.4999e+00	  2.4979e-01	
  6.0000e+00	  5.0043e-01	  1.5000e-04	  3.7471e-04	  2.2507e-04	  1.2495e-04	
  3.0000e+00	  1.2459e-01	  7.5072e-13	  2.4970e-01	  1.4994e+00	  1.4985e-07	
  7.0000e+00	  1.2540e-01	  7.5065e-13	  1.2491e-04	  1.4996e-12	  7.4963e-11	
  1.0000e+00	  9.3736e-01	  4.9987e-01	  9.9950e-01	  1.0000e+00	  1.4992e+00	
  5.0000e+00	  9.3834e-01	  4.9983e-01	  9.3710e-04	  1.5001e+00	  1.0622e-03	
  2.0000e+00	  6.8710e-01	  1.5001e-04	  4.9950e-01	  1.4999e+00	  4.9950e-01	
  6.0000e+00	  6.8805e-01	  1.5000e-04	  4.3713e-04	  3.7506e-04	  3.1231e-04	
  3.0000e+00	  3.1207e-01	  1.4997e-12	  2.4959e-01	  1.5001e+00	  1.2485e-01	
  7.0000e+00	  3.1299e-01	  1.4996e-12	  1.8727e-04	  2.2502e-12	  6.2454e-05	
